UniqueID	SIZE	BIG4	GAAP	CR	QR	AT	CashR	NWC	CFOCL	OM	TM	CFM	ROE	ROA	GRIE	CFONI	CFOTL	CFOTR	CFOTA	EF	FAF	LTDE	CAT	DCOH	ACP	AAP	DR	DSCR	CFOLTL	TAT	FAT	DEPR	CFOFA	APP	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	 
12008	9.7158	0	0	1.537261698	0.303292894	0.010398614	0.010398614	0.537261698	-1.107019064	-1.3781	-0.1513	-1.0159	-0.427638738	-0.047412233	0	3.250636132	-0.173337856	-0.491819057	-0.154119918	0.110869827	0.991862135	13.39655172	0.708850056	1.627647715	98.10735586	3.751252087	0.889130173	-2.562222222	-0.173337856	0.151707082	0.200654221	0.040524998	-0.20384554	156.5254552	1	0	0	0	0	0	0	0	0	0	0	
12009	9.7397	0	0	1.514219831	0.834742506	0.469638739	0.469638739	0.514219831	-0.23405073	-0.2739	0.0590	-0.1066	0.198606272	0.026856705	0.249183896	-1.335526316	-0.041476537	-0.078743212	-0.035867837	0.135225867	0.975139236	7.290887145	1.45	66.89112178	60.69490635	4.683606557	0.864774133	-0.455964326	-0.041476537	0.336474468	0.461134878	0.040010495	-0.04915651	142.4310138	0	1	0	0	0	0	0	0	0	0	0	
12010	9.7985	0	0	1.600710136	0.96772111	0.497740478	0.497740478	0.600710136	-0.372498386	-0.3181	0.0808	-0.1707	0.254545455	0.043541042	0.341463415	-1.471938776	-0.077314753	-0.119005878	-0.064089748	0.171054093	0.95195171	4.115518441	1.363581367	68.49580139	78.59213251	5.106321839	0.828945907	-0.976445396	-0.077314753	0.375541486	0.544225352	0.043557169	-0.092877264	137.6134842	0	0	1	0	0	0	0	0	0	0	0	
12011	9.8069	0	0	1.71152565	1.143570953	0.52898068	0.52898068	0.71152565	-0.385409727	-0.2507	0.0332	-0.1235	0.115417743	0.022137783	0.130844156	-2.878109453	-0.078836195	-0.095469923	-0.063714962	0.191805716	0.939557344	3.67916798	1.82327754	53.66851852	71.88567464	4.594329335	0.808194284	-0.884305835	-0.078836195	0.515887439	0.753963783	0.055114797	-0.093118712	101.4564815	0	0	0	1	0	0	0	0	0	0	0	
12012	9.8204	0	0	2.180198698	1.577252484	0.893456663	0.893456663	1.180198698	-0.024665982	-0.2143	0.0144	-0.0063	0.067085261	0.011029612	-0.131208728	-0.354679803	-0.005092298	-0.005109644	-0.00391198	0.164411845	0.931816294	4.200673905	1.797140163	73.66091465	63.70027105	5.245595855	0.768215159	-0.917485265	-0.005092298	0.621407226	0.949838053	0.05642285	-0.00597957	82.44486574	0	0	0	0	1	0	0	0	0	0	0	
12013	9.8981	0	0	1.701819076	0.977630285	0.423303835	0.423303835	0.701819076	-0.70526057	-0.2461	0.0097	-0.2128	0.051724138	0.008294792	0.05419696	-17.38787879	-0.183252427	-0.169112879	-0.144228836	0.160365976	0.893515306	4.969125214	1.947421638	39.4706104	61.04991841	6.778538813	0.78705007	-0.772157191	-0.183252427	0.677759903	1.039555864	0.046332046	-0.221219832	93.24415976	0	0	0	0	0	1	0	0	0	0	0	
12014	10.0444	0	0	2.322767965	1.393660779	0.267602226	0.267602226	1.322767965	-0.35349625	-0.1372	0.0353	-0.0728	0.197434608	0.034090416	0.246394984	-1.861146497	-0.081166667	-0.065766374	-0.063447258	0.172666869	1.032769792	3.901800788	2.090104167	20.08008357	90.1411515	5.478129713	0.781691058	0.3669967	-0.081166667	0.871368394	1.494377002	0.064085834	-0.108810605	75.0370573	0	0	0	0	0	0	1	0	0	0	0	
12015	10.1557	0	0	1.977415712	1.605420229	0.770446846	0.770446846	0.977415712	0.693660268	-0.1097	0.0632	0.1674	0.305987083	0.068112057	0.440895372	2.452937821	0.227080693	0.155122655	0.16707464	0.222597816	0.944951406	2.617550349	2.09561103	71.1410382	80.74020257	5.898154477	0.735750087	0.970417327	0.227080693	0.998096126	1.90577936	0.06617514	0.319014764	92.33737349	0	0	0	0	0	0	0	1	0	0	0	
12016	10.5400	0	0	2.349032548	1.631318434	1.025348733	1.025348733	1.349032548	0.220788961	-0.1498	0.0911	0.0525	0.33484268	0.076302352	0.503403735	0.510402219	0.052376886	0.046489594	0.03894489	0.227875228	0.968422479	3.221187077	1.788838516	91.2934031	58.91565784	6.95718232	0.743551075	0.981760508	0.052376886	0.741196391	1.265585472	0.044954983	0.066498012	89.03644214	0	0	0	0	0	0	0	0	1	0	0	
12017	10.5395	0	0	1.876957831	1.45060241	0.894277108	0.894277108	0.876957831	0.160843373	-0.2433	0.0243	0.0355	0.083138173	0.020673955	0.090676884	1.367477593	0.039176846	0.03319141	0.02827117	0.248669826	0.845642813	3.767080745	2.415309316	73.7000136	53.3941866	6.066901408	0.721629563	0.951022939	0.039176846	0.796834052	1.234447406	0.054546452	0.043797416	82.41294886	0	0	0	0	0	0	0	0	0	1	0	
